REVISION,DATA STATUS,LOCATION,PARENT EQUIPMENT,PARENT ITEM TAG,ASSET ROLE,ITEM TAG,DESCRIPTION,PANEL LOCATION,PANEL TAG,SUPPLY BUS,EQUIPMENT TYPE,STARTER TYPE,TYPICAL SCHEMATIC,CLASS,DUTY,COINCIDENCE FACTOR,SUPPLY AC/DC,PHASE ARRANGEMENT,RATED VOLTAGE [kV],POWER FACTOR AT DEMAND,EFFICIENCY AT DEMAND,RATED POWER,RATED UOM,ABSORBED POWER,ABSORBED UOM,DEMAND FACTOR,ELEC. CONSUMED POWER,CONSUMED UOM,FULL LOAD CURRENT [A],HAZARDOUS AREA,EXPLOSION PROTECTION,SUBTATION,CABL LENGTH,PARENT TRANSFORMER OF PANEL OR DIREC FEEDER (FDR),REMARKS,SPID
A,E,\SYN\MAIN,,,ELECTRICAL_ASSET,KPL2-GRID-3300-UTIL01,UTILITY GRID CONNECTION,,,,UG,FDR,FD-ASSET,N,C,1,AC,3PNG,33.0,,,10000,kW,,kW,1,,kW,,Safe Area,-,KPL2-MAIN-SUB00,,,Synthetic hierarchy asset row,SYN-ASSET-0001
A,E,\SYN\MAIN,KPL2-GRID-3300-UTIL01,KPL2-GRID-3300-UTIL01,ELECTRICAL_ASSET,KPL2-MAIN-3300-SWGR01,MAIN INCOMING SWITCHGEAR,,KPL2-GRID-3300-UTIL01,KPL2-GRID-3300-UTIL01,HV,FDR,FD-ASSET,N,C,1,AC,3PNG,33.0,,,8000,kW,,kW,1,,kW,,Safe Area,-,KPL2-MAIN-SUB00,,KPL2-GRID-3300-UTIL01,Synthetic hierarchy asset row,SYN-ASSET-0002
A,E,\SYN\MAIN,KPL2-MAIN-3300-SWGR01,KPL2-MAIN-3300-SWGR01,ELECTRICAL_ASSET,KPL2-MAIN-3300-TR00,MAIN POWER TRANSFORMER 33/6.6 kV,,KPL2-MAIN-3300-SWGR01,KPL2-MAIN-3300-SWGR01,TA,FDR,FD-ASSET,N,C,1,AC,3PNG,33.0,,,6300,kW,,kW,1,,kW,,Safe Area,-,KPL2-MAIN-SUB00,,KPL2-MAIN-3300-SWGR01,Synthetic hierarchy asset row,SYN-ASSET-0003
A,E,\SYN\MAIN,KPL2-MAIN-3300-TR00,KPL2-MAIN-3300-TR00,ELECTRICAL_ASSET,KPL2-MAIN-6600-MVDB01,MAIN MV DISTRIBUTION BOARD,,KPL2-MAIN-3300-TR00,KPL2-MAIN-3300-TR00,HV,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,6000,kW,,kW,1,,kW,,Safe Area,-,KPL2-MAIN-SUB00,,KPL2-MAIN-3300-TR00,Synthetic hierarchy asset row,SYN-ASSET-0004
A,E,\SYN\A10,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,KPL2-A10-410-TR01,AREA A10 POWER TRANSFORMER 6.6/0.4 kV,,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,TA,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,1250,kW,,kW,1,,kW,,Safe Area,-,KPL2-A10-410-SUB01,,KPL2-MAIN-6600-MVDB01,Synthetic hierarchy asset row,SYN-ASSET-0005
A,E,\SYN\B20,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,KPL2-B20-420-TR02,AREA B20 POWER TRANSFORMER 6.6/0.4 kV,,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,TA,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,1600,kW,,kW,1,,kW,,Safe Area,-,KPL2-B20-420-SUB02,,KPL2-MAIN-6600-MVDB01,Synthetic hierarchy asset row,SYN-ASSET-0006
A,E,\SYN\C30,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,KPL2-C30-430-TR03,AREA C30 POWER TRANSFORMER 6.6/0.4 kV,,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,TA,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,1500,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-MAIN-6600-MVDB01,Synthetic hierarchy asset row,SYN-ASSET-0007
A,E,\SYN\Z90,KPL2-UNKNOWN-FEEDER,KPL2-UNKNOWN-FEEDER,ELECTRICAL_ASSET,KPL2-Z90-999-TR99,UNVERIFIED SYNTHETIC TRANSFORMER,,KPL2-UNKNOWN-FEEDER,KPL2-UNKNOWN-FEEDER,TA,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,250,kW,,kW,1,,kW,,Safe Area,-,KPL2-Z90-999-SUB99,,KPL2-UNKNOWN-FEEDER,Synthetic hierarchy asset row,SYN-ASSET-0008
A,E,\SYN\A10,KPL2-A10-410-TR01,KPL2-A10-410-TR01,ELECTRICAL_ASSET,KPL2-A10-410-LV01-SWBD01,AREA A10 LV SWITCHBOARD,,KPL2-A10-410-TR01,KPL2-A10-410-TR01,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,1200,kW,,kW,1,,kW,,Safe Area,-,KPL2-A10-410-SUB01,,KPL2-A10-410-TR01,Synthetic hierarchy asset row,SYN-ASSET-0009
A,E,\SYN\B20,KPL2-B20-420-TR02,KPL2-B20-420-TR02,ELECTRICAL_ASSET,KPL2-B20-420-LV02-SWBD02,AREA B20 LV SWITCHBOARD,,KPL2-B20-420-TR02,KPL2-B20-420-TR02,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,1500,kW,,kW,1,,kW,,Safe Area,-,KPL2-B20-420-SUB02,,KPL2-B20-420-TR02,Synthetic hierarchy asset row,SYN-ASSET-0010
A,E,\SYN\C30,KPL2-C30-430-TR03,KPL2-C30-430-TR03,ELECTRICAL_ASSET,KPL2-C30-430-LV03-SWBD03,AREA C30 LV SWITCHBOARD,,KPL2-C30-430-TR03,KPL2-C30-430-TR03,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,900,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-C30-430-TR03,Synthetic hierarchy asset row,SYN-ASSET-0011
A,E,\SYN\C30,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,KPL2-C30-430-MV01-SWBD03,AREA C30 MV SWITCHBOARD,,KPL2-MAIN-6600-MVDB01,KPL2-MAIN-6600-MVDB01,HV,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,4000,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-MAIN-6600-MVDB01,Synthetic hierarchy asset row,SYN-ASSET-0012
A,E,\SYN\Z90,KPL2-Z90-999-TR99,KPL2-Z90-999-TR99,ELECTRICAL_ASSET,KPL2-Z90-999-LV99-SWBD99,UNVERIFIED SYNTHETIC LV SWITCHBOARD,,KPL2-Z90-999-TR99,KPL2-Z90-999-TR99,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,80,kW,,kW,1,,kW,,Safe Area,-,KPL2-Z90-999-SUB99,,KPL2-Z90-999-TR99,Synthetic hierarchy asset row,SYN-ASSET-0013
A,E,\SYN\A10,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,KPL2-A10-410-LV01-MCC01,AREA A10 MCC 01,,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,520,kW,,kW,1,,kW,,Safe Area,-,KPL2-A10-410-SUB01,,KPL2-A10-410-LV01-SWBD01,Synthetic hierarchy asset row,SYN-ASSET-0014
A,E,\SYN\A10,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,KPL2-A10-410-LV01-MCC02,AREA A10 MCC 02,,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,450,kW,,kW,1,,kW,,Safe Area,-,KPL2-A10-410-SUB01,,KPL2-A10-410-LV01-SWBD01,Synthetic hierarchy asset row,SYN-ASSET-0015
A,E,\SYN\A10,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,KPL2-A10-410-LV01-DB01,AREA A10 DISTRIBUTION BOARD 01,,KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-LV01-SWBD01,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,350,kW,,kW,1,,kW,,Safe Area,-,KPL2-A10-410-SUB01,,KPL2-A10-410-LV01-SWBD01,Synthetic hierarchy asset row,SYN-ASSET-0016
A,E,\SYN\B20,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,KPL2-B20-420-LV02-MCC03,AREA B20 MCC 03,,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,900,kW,,kW,1,,kW,,Safe Area,-,KPL2-B20-420-SUB02,,KPL2-B20-420-LV02-SWBD02,Synthetic hierarchy asset row,SYN-ASSET-0017
A,E,\SYN\B20,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,KPL2-B20-420-LV02-MCC04,AREA B20 MCC 04,,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,450,kW,,kW,1,,kW,,Safe Area,-,KPL2-B20-420-SUB02,,KPL2-B20-420-LV02-SWBD02,Synthetic hierarchy asset row,SYN-ASSET-0018
A,E,\SYN\B20,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,KPL2-B20-420-LV02-DB02,AREA B20 DISTRIBUTION BOARD 02,,KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-LV02-SWBD02,LV,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,150,kW,,kW,1,,kW,,Safe Area,-,KPL2-B20-420-SUB02,,KPL2-B20-420-LV02-SWBD02,Synthetic hierarchy asset row,SYN-ASSET-0019
